Filename	Category	UserMode	Description	DisplayName
plugin_ai_recommend.py	AI/Advanced	Basic	Ai Recommend 기능을 실행합니다.	Ai Recommend
plugin_antiviruscheck.py	Network/Security	Basic	Antiviruscheck 기능을 실행합니다.	Antiviruscheck
plugin_autoruncheck.py	System Diagnostics	Basic	Autoruncheck 기능을 실행합니다.	Autoruncheck
plugin_backupcheck.py	System Diagnostics	Basic	Backupcheck 기능을 실행합니다.	Backupcheck
plugin_browsercache.py	Optimization	Basic	Browsercache 기능을 실행합니다.	Browsercache
plugin_browsercheck.py	System Diagnostics	Basic	Browsercheck 기능을 실행합니다.	Browsercheck
plugin_configlock.py	Configuration/Management	Expert	Configlock 기능을 실행합니다.	Configlock
plugin_dashboardgen.py	Reporting	Basic	Dashboardgen 기능을 실행합니다.	Dashboardgen
plugin_diskcheck.py	System Diagnostics	Basic	Diskcheck 기능을 실행합니다.	Diskcheck
plugin_dismcheck.py	System Diagnostics	Basic	Dismcheck 기능을 실행합니다.	Dismcheck
plugin_dnscheck.py	System Diagnostics	Basic	Dnscheck 기능을 실행합니다.	Dnscheck
plugin_drivercheck.py	System Diagnostics	Basic	Drivercheck 기능을 실행합니다.	Drivercheck
plugin_eventlog.py	Reporting	Basic	Eventlog 기능을 실행합니다.	Eventlog
plugin_feedback.py	UI Components	Basic	Feedback 기능을 실행합니다.	Feedback
plugin_firewallcheck.py	Network/Security	Basic	Firewallcheck 기능을 실행합니다.	Firewallcheck
plugin_fontcheck.py	System Diagnostics	Basic	Fontcheck 기능을 실행합니다.	Fontcheck
plugin_graphgen.py	Reporting	Basic	Graphgen 기능을 실행합니다.	Graphgen
plugin_list_widget.py	UI Components	Basic	List Widget 기능을 실행합니다.	List Widget
plugin_loganalyzer.py	Reporting	Expert	Loganalyzer 기능을 실행합니다.	Loganalyzer
plugin_logincheck.py	System Diagnostics	Basic	Logincheck 기능을 실행합니다.	Logincheck
plugin_networkfix.py	Network/Security	Basic	Networkfix 기능을 실행합니다.	Networkfix
plugin_networkprofile.py	Configuration/Management	Basic	Networkprofile 기능을 실행합니다.	Networkprofile
plugin_orgtemplate.py	Optimization	Basic	Orgtemplate 기능을 실행합니다.	Orgtemplate
plugin_pdfexport.py	Reporting	Basic	Pdfexport 기능을 실행합니다.	Pdfexport
